state,state_code,year,education,education_code,region,births,avg_birth_weight_g,sd_birth_weight_g,avg_mother_age,sd_mother_age,avg_gestational_age_wks,sd_gestational_age_wks
Massachusetts,25,2019,"Associate degree (AA, AS)",5,Northeast,4252,3276.1,585.64,31.34,4.79,38.66,2.39
Massachusetts,25,2020,"Associate degree (AA, AS)",5,Northeast,3904,3288.81,562.32,31.57,4.76,38.76,2.28
Massachusetts,25,2021,"Associate degree (AA, AS)",5,Northeast,4089,3298.46,570.12,31.51,4.79,38.65,2.23
Massachusetts,25,2022,"Associate degree (AA, AS)",5,Northeast,4034,3273.98,604.71,31.76,4.86,38.69,2.46
Massachusetts,25,2023,"Associate degree (AA, AS)",5,Northeast,3726,3268.29,573.26,31.84,4.85,38.64,2.41
Massachusetts,25,2024,"Associate degree (AA, AS)",5,Northeast,3495,3253.33,600.23,32.0,4.83,38.54,2.47
Massachusetts,25,2016,"Bachelor's degree (BA, AB, BS)",6,Northeast,17537,3360.04,568.47,32.22,4.27,39.0,2.2
Massachusetts,25,2017,"Bachelor's degree (BA, AB, BS)",6,Northeast,17254,3352.1,569.95,32.28,4.2,38.97,2.18
Massachusetts,25,2018,"Bachelor's degree (BA, AB, BS)",6,Northeast,17385,3338.59,575.64,32.37,4.16,38.9,2.24
Massachusetts,25,2019,"Bachelor's degree (BA, AB, BS)",6,Northeast,17482,3331.3,564.26,32.45,4.16,38.89,2.2
Massachusetts,25,2020,"Bachelor's degree (BA, AB, BS)",6,Northeast,16994,3342.35,562.17,32.57,4.12,38.89,2.2
Massachusetts,25,2021,"Bachelor's degree (BA, AB, BS)",6,Northeast,18531,3336.51,556.66,32.64,4.06,38.84,2.13
Massachusetts,25,2022,"Bachelor's degree (BA, AB, BS)",6,Northeast,17883,3323.37,559.49,32.77,4.16,38.86,2.21
Massachusetts,25,2023,"Bachelor's degree (BA, AB, BS)",6,Northeast,17348,3321.01,553.01,32.81,4.1,38.81,2.18
Massachusetts,25,2024,"Bachelor's degree (BA, AB, BS)",6,Northeast,17409,3327.19,546.64,32.94,4.1,38.84,2.12
Massachusetts,25,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12670,3362.48,570.39,33.23,3.75,39.04,2.13
Massachusetts,25,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12419,3356.75,562.62,33.36,3.68,38.99,2.15
Massachusetts,25,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12871,3353.4,558.64,33.42,3.71,38.95,2.11
Massachusetts,25,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12947,3338.22,560.77,33.53,3.7,38.96,2.14
Massachusetts,25,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12502,3335.23,548.53,33.66,3.72,38.9,2.09
Massachusetts,25,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,13762,3332.3,556.38,33.7,3.63,38.86,2.12
Massachusetts,25,2022,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,13204,3327.9,554.86,33.92,3.73,38.89,2.16
Massachusetts,25,2023,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12792,3322.77,554.43,33.81,3.64,38.83,2.15
Massachusetts,25,2024,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,12651,3311.9,556.57,33.91,3.71,38.8,2.14
Massachusetts,25,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,3988,3307.52,558.81,34.42,3.74,38.93,2.13
Massachusetts,25,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,3890,3321.49,542.24,34.4,3.66,39.02,2.06
Massachusetts,25,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,4068,3316.09,557.78,34.41,3.6,38.94,2.2
Massachusetts,25,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,4135,3317.3,530.35,34.54,3.64,38.95,2.01
Massachusetts,25,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,4013,3306.48,530.09,34.6,3.57,38.9,2.05
Massachusetts,25,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,4310,3298.59,562.23,34.73,3.54,38.84,2.21
Massachusetts,25,2022,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,4318,3302.68,532.83,34.86,3.62,38.9,1.99
